glottocode;iso_code;wals_code;language;genus;family;longitude;latitude;area;continent;macroarea;macrocontinent.3;macrocontinent.4;circumpacific
xooo1239;nmn;xoo;!Xóõ;Southern Khoisan;Khoisan;21,5;-24;S_Africa;Africa;Africa;ow;afr;no
hoaa1235;huc;huc;=|Hoan;=|Hoan;Khoisan;25;-25,5;S_Africa;Africa;Africa;ow;afr;no
abau1245;aau;aba;Abau;Upper Sepik;Sepik;141,25;-4;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
abip1241;axb;abi;Abipón;Guaicuruan;Guaicuruan;-61;-29;SE_South_America;S_America;South America;nw;nw;yes
abkh1244;abk;abk;Abkhaz;Northwest Caucasian;Northwest Caucasian;41;43,08333;Greater_Mesopotamia;W_&_SW_Eurasia;Eurasia;ow;eur;no
abun1252;kgr;abu;Abun;North-Central Bird's Head;West Papuan;132,5;-0,5;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
achi1257;ace;ace;Acehnese;Malayo-Sumbawan;Austronesian;95,5;5,5;Southeast_Asia;S_&_SE_Asia;Eurasia;ow;eur;no
acha1250;aca;acg;Achagua;Northern Arawakan;Arawakan;-72,25;4,41667;NE_South_America;S_America;South America;nw;nw;yes
achu1248;acu;acu;Achuar;Jivaroan;Jivaroan;-76;-2,66667;NE_South_America;S_America;South America;nw;nw;yes
achu1247;acv;acm;Achumawi;Palaihnihan;Hokan;-121;41,5;Basin_and_Plains;W_N_America;North America;nw;nw;yes
west2632;kjq;aco;Acoma;Keresan;Keresan;-107,58333;34,91667;Basin_and_Plains;E_N_America;North America;nw;nw;yes
adan1251;adn;adg;Adang;Greater Alor;Timor-Alor-Pantar;124;-8,2;Oceania;NG_&_Oceania;Papunesia;pac;pac;yes
adyg1241;ady;ady;Adyghe (Abzakh);Northwest Caucasian;Northwest Caucasian;40,58333;45,23333;Greater_Mesopotamia;W_&_SW_Eurasia;Eurasia;ow;eur;no
aeky1238;awi;awi;Aekyom/Awin;Awin-Pare;Awin-Pare;141,41667;-5,75;Interior_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
afri1274;afr;afr;Afrikaans;Germanic;Indo-European;22;-31;S_Africa;Africa;Africa;ow;afr;no
agar1252;agd;aga;Agarabi;Eastern Highlands;Trans-New Guinea;146;-6,16667;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
ainu1240;ain;ain;Ainu;Ainu;Ainu;143;43;N_Coast_Asia;NC_Asia;Eurasia;ow;eur;yes
ajas1235;aja;aja;Aja;Kresh;Nilo-Saharan;25,66667;7,33333;African_Savannah;Africa;Africa;ow;afr;no
akan1250;aka;akn;Akan (Asante);Kwa;Niger-Congo;-1,25;6,5;African_Savannah;Africa;Africa;ow;afr;no
fant1241;fat;;Akan (Fante);Kwa;Niger-Congo;;;African_Savannah;Africa;Africa;ow;afr;no
alam1246;amp;ala;Alamblak;Sepik Hill;Sepik;143,33333;-4,66667;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
alaw1244;alh;alw;Alawa;Maran;Australian;134,25;-15,16667;N_Australia;Australia;Australia;pac;pac;yes
gheg1238;aln;alb;Albanian;Albanian;Indo-European;20;41;Europe;W_&_SW_Eurasia;Eurasia;ow;eur;no
aleu1260;ale;ale;Aleut;Aleut;Eskimo-Aleut;-166;54;N_Coast_Asia;NC_Asia;North America;nw;nw;yes
alle1238;;alc;Allentiac;Huarpe;Huarpe;-68;-31;Andean;S_America;South America;nw;nw;yes
alse1251;aes;als;Alsea;Alsea;Oregon Coast;-123,91667;44,66667;Alaska-Oregon;W_N_America;North America;nw;nw;yes
alun1238;alp;aln;Alune;Central Malayo-Polynesian;Austronesian;128,33333;-3;Oceania;NG_&_Oceania;Papunesia;pac;pac;yes
